id,type,nodeID0,nodeID1
251,0,247,248
252,0,248,249
253,0,249,250
254,0,250,247
255,0,251,252
256,0,252,253
257,0,253,254
258,0,254,251
259,0,255,256
260,0,256,257
261,0,257,258
262,0,258,255
263,0,259,260
264,0,260,261
265,0,261,262
266,0,262,259
267,0,263,264
268,0,264,265
269,0,265,266
270,0,266,263
271,0,267,268
272,0,268,269
273,0,269,270
274,0,270,271
275,0,271,272
276,0,272,273
277,0,273,274
278,0,274,267
279,0,231,275
280,0,275,276
281,0,276,277
282,0,277,278
283,0,278,279
284,0,279,280
285,0,280,281
286,0,281,282
287,0,282,283
288,0,283,284
289,0,284,285
290,0,285,286
291,0,286,287
292,0,287,288
293,0,288,289
294,0,289,290
295,0,290,291
296,0,291,292
297,0,246,293
298,0,293,294
299,0,294,295
300,0,295,296
301,0,296,292
302,0,297,298
303,0,298,299
304,0,299,300
305,0,300,297
306,0,301,302
307,0,302,303
308,0,303,304
309,0,304,301
310,0,305,306
311,0,306,307
312,0,307,308
313,0,308,305
314,0,309,310
315,0,310,311
316,0,311,312
317,0,312,309
318,0,313,314
319,0,314,315
320,0,315,316
321,0,316,313
322,0,317,318
323,0,318,319
324,0,319,320
325,0,320,317
326,0,321,322
327,0,322,323
328,0,323,324
329,0,324,321
332,0,327,328
333,0,328,329
334,0,329,330
335,0,330,331
336,0,331,332
337,0,332,325
339,0,333,334
340,0,334,335
341,0,335,336
342,0,336,333
343,0,327,337
344,0,337,338
345,0,338,339
346,0,339,340
347,0,340,341
348,0,341,342
349,0,342,338
350,0,343,344
351,0,344,345
352,0,345,346
353,0,346,343
354,0,346,347
355,0,347,348
356,0,348,349
357,0,349,350
358,0,350,351
359,0,351,352
360,0,352,353
361,0,353,354
362,0,354,350
363,0,349,355
364,0,355,356
365,0,356,357
366,0,357,347
367,0,358,359
368,0,359,360
369,0,360,361
370,0,361,362
371,0,362,363
372,0,363,364
373,0,364,365
374,0,365,366
375,0,366,367
376,0,367,363
377,0,368,369
378,0,368,370
379,0,370,371
380,0,371,372
381,0,372,373
382,0,373,368
383,0,369,374
384,0,374,375
385,0,375,376
386,0,376,377
387,0,377,378
388,0,378,379
389,0,379,380
390,0,380,381
391,0,381,382
392,0,382,383
393,0,383,384
394,0,384,362
395,0,373,385
396,0,385,386
397,0,358,387
398,0,387,388
399,0,388,389
400,0,389,390
401,0,390,391
402,0,391,392
403,0,392,386
404,0,403,404
405,0,404,405
406,0,405,406
407,0,406,407
408,0,407,408
409,0,408,409
410,0,409,410
411,0,410,411
412,0,411,412
413,0,412,413
414,0,413,414
415,0,414,415
416,0,415,416
417,0,416,417
418,0,417,418
419,0,418,419
420,0,419,420
421,0,420,421
422,0,421,422
423,0,422,423
424,0,423,424
425,0,424,425
426,0,425,426
427,0,426,427
428,0,427,428
429,0,428,429
430,0,429,430
431,0,430,431
432,0,431,432
433,0,432,433
434,0,433,434
435,0,434,435
436,0,435,436
437,0,436,437
438,0,437,438
439,0,438,439
440,0,439,440
441,0,440,441
442,0,441,442
443,0,405,443
444,0,443,440
445,0,444,445
446,0,445,446
447,0,446,447
448,0,447,448
449,0,448,449
450,0,449,450
451,0,450,451
452,0,451,452
453,0,452,453
454,0,453,454
455,0,454,455
456,0,455,456
457,0,456,457
458,0,457,458
459,0,458,444
460,0,186,459
461,0,459,460
462,0,460,461
463,0,461,462
464,0,462,463
465,0,463,464
466,0,464,465
467,0,465,466
468,0,466,467
469,0,467,196
470,0,97,468
471,0,468,469
472,0,469,470
473,0,470,471
474,0,471,98
475,0,89,472
476,0,472,473
477,0,473,474
478,0,474,475
479,0,475,476
480,0,476,477
481,0,477,478
482,0,478,479
483,0,479,90
484,0,92,480
485,0,480,471
486,0,470,481
487,0,481,482
488,0,482,469
489,0,468,94
490,0,325,489
491,0,489,333
492,0,489,490
493,0,490,491
494,0,491,492
495,0,492,493
496,0,493,494
497,0,494,495
498,0,495,496
499,0,496,497
500,0,497,337
501,0,199,498
502,0,498,499
503,0,499,500
504,0,500,501
505,0,501,502
506,0,502,503
507,0,503,504
508,0,504,505
509,0,505,506
510,0,506,197
511,0,507,508
512,0,508,509
513,0,509,510
514,0,510,511
515,0,507,512
516,0,512,513
517,0,513,514
518,0,514,515
519,0,515,507
520,0,516,517
521,0,517,518
523,0,519,520
524,0,520,516
525,0,519,521
526,0,521,522
527,0,522,523
528,0,523,524
529,0,524,525
530,0,525,526
531,0,526,527
532,0,527,528
533,0,528,529
534,0,529,530
535,0,530,531
536,0,531,532
537,0,532,508
538,0,511,538
539,0,538,539
540,0,539,540
541,0,540,541
542,0,541,542
543,0,542,543
544,0,543,544
545,0,544,545
546,0,545,546
547,0,546,547
548,0,547,548
549,0,548,549
550,0,549,550
551,0,550,551
552,0,551,552
553,0,552,553
554,0,553,554
555,0,554,555
556,0,555,556
557,0,556,557
558,0,518,558
559,0,558,559
560,0,559,560
561,0,560,561
562,0,557,562
563,0,562,561
564,0,43,619
565,0,619,620
566,0,620,48
567,0,37,621
568,0,621,622
569,0,622,623
570,0,623,624
571,0,624,621
572,0,42,625
573,0,625,626
574,0,626,627
575,0,627,628
576,0,628,625
